StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q_DuplicateRespondent,Q89,Q1,Q3,Q5,Q6,Q70,DEP1,DEP2,DEP3,DEP4,DEP5,DEP6,DEP7,SMU1_1,SMU2,SMU2_11_TEXT,SMP1,SMP2,SMP3,SMP4,SMA1,SMA2,SMA3,SMA4,DF1,ATT1,Q125,Q77,Q128,Q75,Q129,Q76,Q130,Q79,Q131,Q83,Q132,Q84,Q133,Q85,Q134,Q86,FC1,FC2,FC3,FP1,FP2,FP3,CP1,CP2,CP3,CC1,CC2,CC3,TR1,TR2,TR3,TR4,DT1,DT2,DT3,DT4,SC0,score
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Q_RecaptchaScore,Q_DuplicateRespondent,Please tick all 3 boxes to confirm your agreement before proceeding:,What is your gender?,"What is your age? (Please enter a number only, e.g., 18, 51, 24)",What year are you currently in?,"What is the current occupation of your household's main income earner?

If you are financially independent, what is your occupation apart from being a student?","How would you describe your family/household's current financial situation?

If you are financially independent, how would you describe your financial situation?","How much do you rely on social media to make sense of what is going on in your life and the wider world (e.g., current issues)?","How much do you rely on social media to help you make everyday decisions? (e.g., what to buy, what to watch, where to eat, or how to respond to others)",How much do you rely on social media to take your mind off of everyday stress?,How much do you rely on social media to give you topics to talk about with other people?,"Compared to other sources (e.g., friends, family, TV, or your own experience), how much do you rely on social media for information and guidance in your daily life?","When you want to find out about something happening around you, how often is social media the first source you turn to?",Which of the following areas do you rely on social media for? Check all that apply.,"On an average day, approximately how many hours do you spend using social media across all platforms?

(answer 1 if usage is 1hr or less, answer 12 if usage is 12+ hours)

You may check your phone’s screen time settings for a more accurate estimate. Round to the nearest whole number - Number of hours",What are your top 3 reasons for using media (other than messaging)? (Select 3) - Selected Choice,What are your top 3 reasons for using media (other than messaging)? (Select 3) - Other (please specify): - Text,I browse my social media feed to see posts and updates from others.,"I view other users' profiles and the content they share. (e.g., influencers, friends, celebrities)",I read comments on other people’s posts.,"I watch stories, reels, shorts, or similar content posted by others.",I create my own original content for social media.,"I post photos, videos, stories, or other content on social media.","I share, repost, or recommend content to others.","I comment on, reply to, or interact with other people’s posts.",Which of the following statements best describes how much you know about deepfakes?,This is an attention check. Please select ‘Unlikely.’,Do you think this video is real or a deepfake?,How confident are you in your answer?,Do you think this video is real or a deepfake?,How confident are you in your answer?,Do you think this video is real or a deepfake?,How confident are you in your answer?,Do you think this video is real or a deepfake?,How confident are you in your answer?,Do you think this video is real or a deepfake?,How confident are you in your answer?,Do you think this video is real or a deepfake?,How confident are you in your answer?,Do you think this video is real or a deepfake?,How confident are you in your answer?,Do you think this video is real or a deepfake?,How confident are you in your answer?,"I know how to use search engines (e.g., Google, Bing, etc.) to find the information I need online.","I understand the political, economic, and social meanings behind media content.",I understand the different opinions and perspectives shared by others in the media.,"Beyond basic phone use, I use hardware (e.g., camera, microphone, lighting, etc.) and/or software (e.g., photo editing apps, Adobe, CapCut, Canva, Audacity, etc.) to create or edit social media content.","I regularly share posts, photos, videos, or other content on social media.","I regularly interact with other users by commenting on, replying to, or reacting to their posts.","I share my opinions and/or participate in online discussions in ways that can influence, inform, or 
challenge the thoughts of other people.","When I post or comment online, I try to consider different viewpoints about the 
topic.",I interact and/or collaborate with different people online to share ideas or achieve a common goal.,I compare information from different sources before deciding what to believe.,"I think critically about media content by comparing it with my own knowledge, opinions, and 
experiences.","I evaluate whether information in the media is accurate, reliable, and trustworthy.","I believe that [social media platform] takes users’ exposure to misinformation seriously.

Replace [social media platform] with the platform you personally use the most.","I believe [social media platform] is reliable because it takes steps to reduce the spread of misinformation.

Replace [social media platform] with the platform you personally use the most.","I am confident in [social media platform]’s ability to address misinformation.

Replace [social media platform] with the platform you personally use the most.","I believe information on [social media platform] is generally reliable.

Replace [social media platform] with the platform you personally use the most.","I believe that [social media platform] allows misinformation to remain on its platform. 

Replace [social media platform] with the platform you personally use the most.","I believe that [social media platform] may allow misinformation to remain because doing so serves  

the platform's interests.

Replace [social media platform] with the platform you personally use the most.","I am not confident that [social media platform] keeps my interests in mind when it makes decisions on addressing misinformation.

 Replace [social media platform] with the platform you personally use the most.","I believe that misinformation is a problem on [social media platform].

Replace [social media platform] with the platform you personally use the most.",Score,score
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""Q_DuplicateRespondent""}","{""ImportId"":""QID89""}","{""ImportId"":""QID1""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID70""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID15""}","{""ImportId"":""QID15_11_TEXT""}","{""ImportId"":""QID16""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID26""}","{""ImportId"":""QID33""}","{""ImportId"":""QID31""}","{""ImportId"":""QID125""}","{""ImportId"":""QID77""}","{""ImportId"":""QID128""}","{""ImportId"":""QID75""}","{""ImportId"":""QID129""}","{""ImportId"":""QID76""}","{""ImportId"":""QID130""}","{""ImportId"":""QID79""}","{""ImportId"":""QID131""}","{""ImportId"":""QID83""}","{""ImportId"":""QID132""}","{""ImportId"":""QID84""}","{""ImportId"":""QID133""}","{""ImportId"":""QID85""}","{""ImportId"":""QID134""}","{""ImportId"":""QID86""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37""}","{""ImportId"":""QID42""}","{""ImportId"":""QID44""}","{""ImportId"":""QID45""}","{""ImportId"":""QID92""}","{""ImportId"":""QID93""}","{""ImportId"":""QID95""}","{""ImportId"":""QID101""}","{""ImportId"":""QID102""}","{""ImportId"":""QID105""}","{""ImportId"":""QID48""}","{""ImportId"":""QID49""}","{""ImportId"":""QID50""}","{""ImportId"":""QID51""}","{""ImportId"":""QID53""}","{""ImportId"":""QID55""}","{""ImportId"":""QID52""}","{""ImportId"":""QID56""}","{""ImportId"":""SC_031xurR7IYaIsVE""}","{""ImportId"":""score""}"
02/07/2026 04:49,02/07/2026 04:51,0,3,145,0,02/07/2026 04:51,R_9Qn6dlMga6ZzxbC,anonymous,EN,,,"1,2,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
02/07/2026 09:42,02/07/2026 09:45,0,100,221,1,02/07/2026 09:46,R_9mR4pZujjpLXbOh,anonymous,EN,,,"1,2,3",3,18,2,1,1,3,2,3,3,4,4,9,8,"2,3,4",,2,1,3,2,3,2,2,2,2,2,2,4,1,2,2,3,2,4,1,4,1,4,1,3,1,4,4,2,2,3,3,2,3,3,2,3,2,2,1,2,1,3,2,2,2,1,7,
02/07/2026 09:54,02/07/2026 09:57,0,100,155,1,02/07/2026 09:57,R_9aqvBcW0zUumktH,anonymous,EN,,,"1,2,3",2,18,3,1,4,3,2,2,2,4,3,11,8,"1,2,3",,2,2,1,2,3,3,2,2,3,2,2,1,2,2,2,4,1,2,2,3,1,2,1,2,1,3,4,2,2,2,1,2,4,2,3,2,3,3,3,1,5,2,2,2,2,4,6,
03/07/2026 10:25,03/07/2026 10:40,0,100,903,1,03/07/2026 10:40,R_4rprDFukwfXDERp,anonymous,EN,,,"1,2,3",2,24,6,3,5,4,2,4,2,2,4,"1,3,4,6,7,9,10",8,"1,7,8",,4,2,3,4,3,3,4,4,4,2,1,4,1,4,2,4,2,4,1,5,1,4,1,5,1,4,5,4,4,2,4,4,4,4,4,4,4,4,2,2,2,2,4,4,4,4,6,
04/07/2026 12:15,06/07/2026 06:16,0,100,151236,1,06/07/2026 06:16,R_9PrusrlyzngZaed,anonymous,EN,,,"1,2,3",2,24,1,3,1,3,3,5,5,3,3,"2,3",3,"2,3,4",,3,1,2,3,3,3,5,5,3,2,1,2,2,5,1,1,2,2,1,1,1,4,1,1,1,1,2,4,2,1,3,1,5,3,3,2,3,4,3,3,4,5,2,2,4,1,6,
06/07/2026 06:56,06/07/2026 06:57,0,100,94,1,06/07/2026 06:57,R_9OrEYBE3yOKu1xq,anonymous,EN,,,"1,2,3",3,8,3,4,4,2,3,5,3,4,5,3,5,"2,4,5",,2,2,4,1,5,2,2,1,2,2,1,1,1,2,1,1,2,3,1,2,2,3,2,2,1,2,4,3,4,3,3,2,5,4,2,4,4,3,1,3,3,2,2,2,1,2,3,
06/07/2026 20:51,06/07/2026 21:08,0,100,994,1,06/07/2026 21:08,R_44PAnxYBR7w7neF,anonymous,EN,,,"1,2,3",2,24,3,3,5,3,2,4,2,2,4,"1,3,4,6,7,9,10",8,"1,7,8",,5,3,3,5,3,3,3,3,4,2,1,3,1,3,1,3,2,5,1,5,1,4,1,4,1,4,5,4,5,2,2,2,4,4,4,3,5,4,2,2,2,2,4,4,4,4,5,
06/07/2026 21:41,06/07/2026 21:43,0,100,118,1,06/07/2026 21:43,R_4pthaeA9DSL7lkd,anonymous,EN,,,"1,2,3",2,24,1,1,1,1,1,1,1,1,1,1,1,"1,2,3",,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,
